Time,ARIMA,SARIMA,ETS,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 03:21:00,1758.2579059344582,1800.990354969429,1863.6098864316389,1945.119,1630.5957,1589.233,1708.5635,1873.1595,1746.0746183672218,1260.0
2023-09-08 03:21:05,1375.2172425002204,1503.5699607213794,1562.5572354662331,1784.9583,1454.9568,1147.4991,1434.2521,1725.5084,1424.6086336393864,1500.0
2023-09-08 03:21:10,1095.3084864307973,1262.2166115638151,1297.8112289800274,1901.5966,1573.6244,1238.2148,1535.4507,1608.7429,1348.3516515160718,1830.0
2023-09-08 03:21:15,890.7638539578977,1002.132897802109,936.5898865232624,2083.443,1865.3495,1626.314,1783.3625,1673.0681,1418.870246031379,1250.0
2023-09-08 03:21:20,741.2919072386004,748.0601510166535,437.9746131747448,2089.246,2137.8186,2061.1946,1973.2853,2048.7388,1583.1506932682155,1970.0
2023-09-08 03:21:25,1765.6683155379635,1789.4922751324648,1683.3195304588305,1832.4353,1980.557,1802.1433,1745.6228,1462.726,1841.7104738606483,934.0
2023-09-08 03:21:30,1898.98314675428,1993.6515170254447,1739.7365723697412,2069.5842,2112.9045,1944.6754,2065.892,1494.0579,2137.658588306289,2280.0
2023-09-08 03:21:35,1996.3591918792144,2179.0840038149577,1948.377835309156,2195.4355,1994.0662,2041.6095,2079.9126,1596.4369,2343.6502430262635,3390.0
2023-09-08 03:21:40,2067.484767913495,2307.0848456997323,2223.088789478129,2093.754,1905.9915,2014.2637,2045.8844,1640.3552,2389.903912036648,1750.0
2023-09-08 03:21:45,2119.4364317926106,2377.0943979961426,2487.1969098305244,1939.5784,1555.797,2010.9027,1947.7107,2266.6094,2317.920690891774,1770.0
2023-09-08 03:21:50,2222.5391420701453,2232.2152106981503,2185.177562191395,2191.3418,2393.7703,2088.9333,2266.3022,2042.7511,2181.11080155957,2610.0
2023-09-08 03:21:55,2152.8649975265475,2206.3739622141893,2021.3113889055608,2095.5999,2357.3755,1927.3893,2209.539,1999.6007,2004.1140999283189,2680.0
2023-09-08 03:22:00,2101.969552046202,2243.5214353070687,1926.635801854616,2019.948,2121.349,1898.9496,2120.9304,2134.0488,1863.6314829219432,1110.0
2023-09-08 03:22:05,2064.791537337719,2308.615243325129,1951.253188903872,1955.6196,1948.6482,1967.4807,2076.5818,2284.0315,1882.8602467502988,1830.0
